epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.378,1.91388,3.89684,2.2325,0.93241,0.11607,0.16859,0.11331,2.37049,4.64778,2.7228,0.000327778,0.000327778,0.000327778
2,1242.03,1.87059,3.53486,2.18287,0.81331,0.125,0.07937,0.04312,2.41792,4.59983,2.81112,0.000651761,0.000651761,0.000651761
3,1852.95,1.84375,3.37555,2.18781,0.83035,0.14286,0.11605,0.05997,2.40324,4.82071,3.10743,0.000966316,0.000966316,0.000966316
4,2458.84,1.87581,3.36742,2.23328,0.60443,0.09341,0.05185,0.01405,2.44533,4.45815,2.95225,0.000957571,0.000957571,0.000957571
5,3082.78,1.85086,3.22543,2.19877,0.85217,0.08036,0.08996,0.03211,2.55977,4.0142,2.82043,0.000943429,0.000943429,0.000943429
6,3741.55,1.82068,3.1169,2.15448,0.20415,0.19515,0.16232,0.08825,2.20774,4.36037,2.7623,0.000929286,0.000929286,0.000929286
7,4414.99,1.7793,2.99845,2.13292,0.38301,0.24064,0.14196,0.05249,2.15065,3.70122,2.73103,0.000915143,0.000915143,0.000915143
8,5074.48,1.80444,2.95346,2.14283,0.6722,0.16964,0.18594,0.13523,2.18874,3.45967,2.58475,0.000901,0.000901,0.000901
9,5735.55,1.70919,2.83693,2.09932,0.35528,0.19336,0.09953,0.02934,2.29503,3.85969,2.83287,0.000886857,0.000886857,0.000886857
10,6231.27,1.7345,2.86511,2.11,0.91855,0.15179,0.21857,0.15995,2.05204,3.50062,2.57504,0.000872714,0.000872714,0.000872714
11,6723.91,1.72382,2.78506,2.0971,0.46753,0.27651,0.21112,0.14584,2.04108,3.27959,2.58079,0.000858571,0.000858571,0.000858571
12,7308.38,1.7576,2.84255,2.12057,0.4199,0.22665,0.19138,0.13865,2.07944,3.41766,2.5447,0.000844429,0.000844429,0.000844429
13,7971.29,1.67252,2.69412,2.06771,0.2298,0.25806,0.22877,0.15268,2.02576,3.32047,2.54669,0.000830286,0.000830286,0.000830286
14,8627.47,1.68437,2.73837,2.0579,0.69273,0.27473,0.24154,0.15635,2.03566,3.2608,2.60169,0.000816143,0.000816143,0.000816143
15,9289.5,1.69974,2.71119,2.06891,0.26611,0.23068,0.22006,0.1599,2.00626,3.30357,2.54831,0.000802,0.000802,0.000802
16,9953.21,1.69373,2.68153,2.06394,0.75694,0.26005,0.23696,0.16412,2.03145,3.17304,2.55182,0.000787857,0.000787857,0.000787857
17,10611.7,1.6289,2.56789,2.00809,0.36306,0.26562,0.23283,0.15361,2.0476,3.16466,2.60684,0.000773714,0.000773714,0.000773714
18,11275.7,1.58846,2.54009,2.00238,0.33542,0.30387,0.25571,0.16032,2.00338,3.11979,2.62939,0.000759571,0.000759571,0.000759571
19,11934.7,1.63389,2.58467,2.02423,0.69339,0.31501,0.24127,0.15818,2.03483,3.2152,2.55498,0.000745429,0.000745429,0.000745429
20,26201.4,1.5829,2.5258,1.99503,0.21587,0.31251,0.23589,0.16719,2.05414,3.04106,2.54664,0.000731286,0.000731286,0.000731286
21,26691.9,1.59895,2.49007,1.98653,0.49262,0.26291,0.22543,0.15021,2.1148,3.15063,2.55757,0.000717143,0.000717143,0.000717143
22,27180.6,1.58498,2.51571,1.98309,0.25705,0.28549,0.23432,0.15303,1.97449,3.19768,2.60358,0.000703,0.000703,0.000703
23,27670.9,1.56085,2.41985,1.95151,0.78768,0.21429,0.24723,0.17712,1.93052,3.11853,2.56389,0.000688857,0.000688857,0.000688857
24,28161.4,1.53924,2.39331,1.96556,0.53701,0.31653,0.25296,0.16704,1.99167,3.06673,2.60278,0.000674714,0.000674714,0.000674714
25,28650.8,1.55224,2.36828,1.94414,0.35097,0.31321,0.29192,0.18644,2.05029,2.9135,2.53271,0.000660571,0.000660571,0.000660571
26,29140.8,1.56896,2.38403,1.95434,0.47485,0.31745,0.26744,0.18518,1.96218,2.97518,2.51792,0.000646429,0.000646429,0.000646429
27,29630.4,1.55583,2.38902,1.95158,0.3509,0.34853,0.29353,0.18262,2.04535,2.90466,2.55905,0.000632286,0.000632286,0.000632286
28,30228,1.54079,2.32103,1.92108,0.26584,0.33558,0.25127,0.16469,2.02338,3.06423,2.56279,0.000618143,0.000618143,0.000618143
29,30887,1.50696,2.32961,1.93307,0.37966,0.31679,0.28597,0.18898,1.98876,2.94583,2.50761,0.000604,0.000604,0.000604
30,31544.9,1.52008,2.31533,1.93152,0.2977,0.33781,0.28797,0.19009,1.9958,2.90387,2.52173,0.000589857,0.000589857,0.000589857
31,32204.6,1.50287,2.28152,1.91283,0.33709,0.3477,0.294,0.1824,2.0049,2.90997,2.55273,0.000575714,0.000575714,0.000575714
32,32863.4,1.46083,2.21632,1.88114,0.38365,0.32026,0.29051,0.19156,1.94556,2.9097,2.50991,0.000561571,0.000561571,0.000561571
33,33525.6,1.4821,2.23195,1.89971,0.28508,0.32748,0.26675,0.17577,1.99303,2.88436,2.51338,0.000547429,0.000547429,0.000547429
34,34185.1,1.51305,2.25597,1.91871,0.44198,0.29042,0.27858,0.1665,2.14437,2.98025,2.62412,0.000533286,0.000533286,0.000533286
35,34845.8,1.51478,2.20899,1.8939,0.27289,0.3745,0.27758,0.18386,2.04073,2.90532,2.57934,0.000519143,0.000519143,0.000519143
36,35529.8,1.45482,2.14224,1.86481,0.33956,0.32524,0.30526,0.19727,2.03871,2.83948,2.5821,0.000505,0.000505,0.000505
37,36225.8,1.44977,2.10629,1.8464,0.31802,0.36927,0.30509,0.19565,2.02653,2.86811,2.57434,0.000490857,0.000490857,0.000490857
38,36777.9,1.47806,2.17368,1.87563,0.31241,0.34259,0.29027,0.18957,2.0614,2.95538,2.58634,0.000476714,0.000476714,0.000476714
39,37292.1,1.42674,2.08161,1.8218,0.39965,0.30612,0.28331,0.18494,2.05411,2.81631,2.55526,0.000462571,0.000462571,0.000462571
40,37805.8,1.45389,2.08171,1.84252,0.32639,0.33856,0.28176,0.1836,2.05347,2.95616,2.60883,0.000448429,0.000448429,0.000448429
41,38318.6,1.44466,2.06414,1.8718,0.40204,0.31011,0.3102,0.19785,2.00872,2.94749,2.6334,0.000434286,0.000434286,0.000434286
42,38830.5,1.4011,2.01723,1.83895,0.27342,0.38665,0.30597,0.19379,2.0526,3.0112,2.60129,0.000420143,0.000420143,0.000420143
43,39343.4,1.41094,1.96806,1.82244,0.33083,0.35393,0.28322,0.18525,2.08615,2.90734,2.64435,0.000406,0.000406,0.000406
44,39975.7,1.39688,1.99653,1.81283,0.27002,0.34173,0.27996,0.18487,2.08981,2.90252,2.61311,0.000391857,0.000391857,0.000391857
45,40640.9,1.38686,1.93345,1.8068,0.3218,0.38127,0.31229,0.20121,2.07789,2.76386,2.64869,0.000377714,0.000377714,0.000377714
46,41306.5,1.38507,1.96912,1.80873,0.29694,0.42883,0.30556,0.18881,2.10611,2.82861,2.6503,0.000363571,0.000363571,0.000363571
47,41968.7,1.34475,1.87073,1.77864,0.3347,0.36938,0.30013,0.18825,2.08396,2.99674,2.67758,0.000349429,0.000349429,0.000349429
48,42656.7,1.39045,1.91812,1.81323,0.39656,0.32653,0.30473,0.19507,2.08559,2.92652,2.64705,0.000335286,0.000335286,0.000335286
49,43335.5,1.33911,1.85079,1.77578,0.31396,0.3679,0.28944,0.17474,2.20921,2.85433,2.73587,0.000321143,0.000321143,0.000321143
50,43998.9,1.33432,1.8853,1.77085,0.30433,0.39117,0.30282,0.19311,2.11655,2.89246,2.6953,0.000307,0.000307,0.000307
51,44663.5,1.32221,1.82555,1.75477,0.41642,0.37371,0.31646,0.2008,2.15286,2.86227,2.73154,0.000292857,0.000292857,0.000292857
52,45334.1,1.33219,1.81196,1.76376,0.32452,0.38659,0.31038,0.19214,2.0971,2.86395,2.69668,0.000278714,0.000278714,0.000278714
53,45994.4,1.31318,1.77177,1.76069,0.36585,0.38333,0.33042,0.20504,2.14405,2.86986,2.72994,0.000264571,0.000264571,0.000264571
54,51871.7,1.3374,1.7885,1.7797,0.3405,0.36782,0.30221,0.18856,2.17233,2.89637,2.76294,0.000250429,0.000250429,0.000250429
55,52363.4,1.28514,1.70165,1.72069,0.40872,0.37145,0.33353,0.20007,2.15445,2.85765,2.77829,0.000236286,0.000236286,0.000236286
56,52853.8,1.27459,1.71565,1.71502,0.38096,0.36781,0.32953,0.20199,2.1529,2.87689,2.7435,0.000222143,0.000222143,0.000222143
57,53341.5,1.27132,1.70081,1.71456,0.35626,0.38331,0.30478,0.19423,2.14058,2.86306,2.74816,0.000208,0.000208,0.000208
58,53831,1.26146,1.66601,1.70636,0.57083,0.31468,0.32,0.19743,2.17633,2.904,2.78177,0.000193857,0.000193857,0.000193857
59,54318.9,1.24116,1.66395,1.68384,0.36273,0.35977,0.31707,0.19519,2.14012,2.8721,2.71164,0.000179714,0.000179714,0.000179714
60,54966.7,1.24895,1.63972,1.67375,0.37958,0.36315,0.30809,0.18541,2.1611,2.85299,2.77191,0.000165571,0.000165571,0.000165571
61,55642.4,1.3444,1.67333,1.88878,0.33198,0.36002,0.30492,0.18838,2.16508,2.95522,2.82412,0.000151429,0.000151429,0.000151429
62,56295,1.28894,1.54893,1.84089,0.41474,0.3486,0.31529,0.18674,2.15413,2.86835,2.78716,0.000137286,0.000137286,0.000137286
63,56951.9,1.21179,1.48927,1.79109,0.37533,0.3972,0.329,0.19106,2.18421,2.82985,2.79848,0.000123143,0.000123143,0.000123143
64,57607.9,1.24582,1.46423,1.81636,0.38684,0.35825,0.32451,0.18834,2.19459,2.82446,2.82494,0.000109,0.000109,0.000109
65,58267,1.20494,1.40879,1.77188,0.43889,0.34803,0.32498,0.19687,2.18409,2.85287,2.81609,9.48571e-05,9.48571e-05,9.48571e-05
66,58922,1.18912,1.36275,1.76001,0.42921,0.35045,0.33116,0.19475,2.19762,2.84008,2.83211,8.07143e-05,8.07143e-05,8.07143e-05
67,59574.9,1.14597,1.3597,1.72324,0.47411,0.33724,0.33175,0.19279,2.20498,2.85426,2.85831,6.65714e-05,6.65714e-05,6.65714e-05
68,60226.4,1.16268,1.31319,1.73572,0.47582,0.33781,0.33704,0.19457,2.215,2.88458,2.86747,5.24286e-05,5.24286e-05,5.24286e-05
69,60878.2,1.17266,1.32721,1.74243,0.44977,0.34273,0.33638,0.19536,2.22508,2.8734,2.87116,3.82857e-05,3.82857e-05,3.82857e-05
70,62176.1,1.15413,1.29384,1.73184,0.40458,0.36204,0.33487,0.19301,2.21676,2.87378,2.86083,2.41429e-05,2.41429e-05,2.41429e-05
